FirstName;LastName;Sex;BirthDate;BirthCountry;Salary;SalaryCurrency;CompanyRole
Lou;Bevil;Male;12.06.1993 00:00:00;Denmark;520000;PLN;CEO
Lenore;Hilbert;Female;14.10.1980 00:00:00;Romania;2220000;PLN;Director
Ronni;Millsap;Female;03.01.1982 00:00:00;Faroe Islands;900300;PLN;Manager
Lela;Stidham;Female;19.11.1990 00:00:00;Greece;6400;GBP;IT
Amber;Osterberg;Female;23.07.1986 00:00:00;Jersey;8800;EUR;SeniorWorker
Maile;Shirkey;Female;18.11.1985 00:00:00;Sweden;5800;NOK;Manager
Lon;Hutcherson;Male;19.01.1987 00:00:00;Belgium;6300;GBP;Manager
Olevia;Pattillo;Female;08.12.1992 00:00:00;Hungary;6700;PLN;Director
Kym;Begley;Female;12.02.1987 00:00:00;Andorra;5800;EUR;Worker
Marvel;Wilczynski;Female;16.11.1991 00:00:00;Latvia;6500;EUR;Worker
Melinda;Hennig;Female;26.11.1977 00:00:00;Malta;8100;NOK;Manager
Whitney;Berlanga;Male;17.05.1985 00:00:00;Finland;7500;EUR;Director
Thu;Presutti;Female;21.10.1994 00:00:00;Iceland;9900;EUR;SeniorWorker
Ezequiel;Raminez;Male;20.11.1982 00:00:00;Russian Federation;6200;GBP;SeniorWorker
Toshiko;Wisecarver;Female;05.08.1990 00:00:00;Austria;7800;GBP;SeniorWorker
Allena;Voll;Female;26.07.1981 00:00:00;Macedonia (the former Yugoslav Republic of);7200;USD;IT
Jean;Suess;Male;15.10.1987 00:00:00;United Kingdom of Great Britain and Northern Ireland;7000;EUR;IT
Jennie;Gatchell;Female;03.09.1981 00:00:00;Gibraltar;5700;GBP;Director
Carlton;Vanduyne;Male;07.03.1990 00:00:00;Ukraine;9200;NOK;Worker
Louise;Depuy;Female;12.05.1988 00:00:00;Netherlands;6500;EUR;IT
Lorelei;Mcmorris;Female;04.04.1988 00:00:00;Moldova (Republic of);7700;GBP;IT
Sanjuanita;Bryson;Female;08.05.1977 00:00:00;Norway;8600;USD;IT
Pete;Archambeault;Male;18.03.1977 00:00:00;Belarus;8700;NOK;IT
Yvone;Sedlacek;Female;20.12.1990 00:00:00;Italy;9600;EUR;Worker
Eloy;Norsworthy;Male;01.06.1988 00:00:00;France;9300;USD;IT
